id,model_name,training_time_s,accuracy,cpu_usage_time,memo_usage_mib,cpu_limit_util,cpu_percent_util_min,cpu_percent_util_max,memory_percentage,power_use_memory,energy_use_memory,power_min_skylake_cpu,power_use_skylake_cpu,power_min_broadwell_cpu,power_use_broadwell_cpu,power_min_haswell_cpu,power_use_haswell_cpu,min_power_amd_cpu_n_4,power_amd,energy_use_skylake_cpu,energy_use_broadwell_cpu,energy_use_haswell_cpu,total_energy_skylake,total_energy_broadwell,total_energy_haswell,avg_energy,experiment,num_layers,max_epoch,batch_size,no_nodes,accelerator
8a15068b-70d2-4b20-b744-b2a586c1249c,mnist_cnn,1601,91.24,1.686,623.71,1.106,1.661,39.2,0.07796375,0.23389125,374.4598913,0.3861825,9.34879896,0.292336,7.076940288,0.3529625,8.5446012,2.1868726,0,24995.60332,18921.40294,22845.44389,25370.06321,19295.86283,23219.90378,22628.60994,4,4,25,512,4,off
b4beaea3-e39b-462c-9c65-856b4a2be402,mnist_cnn,1618,91.53,1.718,615.7,1.113,1.534,39.13,0.0769625,0.2308875,373.575975,0.356655,9.314820899,0.269984,7.051219261,0.325975,8.513545983,2.0196644,0,25169.20496,19052.81752,23004.11206,25542.78093,19426.39349,23377.68803,22782.28749,4,4,25,512,4,off
065680c4-72fd-4afc-b4a8-001f6e9f4358,cifar10_cnn,8095,81.51,1.484,1499,0.9895,0.155,69.1,0.187375,0.562125,4550.401875,0.0360375,16.07688559,0.02728,12.17002952,0.0329375,14.69392769,0.204073,0,217337.7893,164522.3696,198642.0655,221888.1912,169072.7714,203192.4674,198051.1434,4,4,25,512,4,off
18506a63-4686-45f4-87a5-b9237f16f8dc,cifar10_cnn,7893,81.39,1.482,1652,1.0143,1.37,38.86,0.2065,0.6195,4889.7135,0.318525,9.229696185,0.24112,6.986780768,0.291125,8.435743825,1.803742,0,121659.4866,92094.92321,111194.1544,126549.2001,96984.63671,116083.8679,113205.9016,4,4,25,512,4,off
8837f19b-66a4-4eee-a307-20ee18e9a268,cifar10_cnn,7879,80.74,1.485,1481,0.9897,1.3519,38.55,0.185125,0.555375,4375.799625,0.31431675,9.156022643,0.2379344,6.931010689,0.28727875,8.368407792,1.77991154,0,120474.305,91197.75347,110110.9239,124850.1046,95573.5531,114486.7236,111636.7938,4,4,25,512,4,off
0eb57623-4eae-4bee-bc69-969a3558f314,mnist_resnet,12161,90.31,1.788,818.7,1.196,1.58,52.57,0.1023375,0.3070125,3733.579013,0.36735,12.39675911,0.27808,9.384213344,0.33575,11.33037123,2.080228,0,251764.1691,190582.7689,230107.0363,255497.7481,194316.3479,233840.6153,227884.9037,4,4,25,512,4,off
4a26ae59-bc69-43a2-bcac-240ee9c0f4f5,mnist_resnet,11642,90.37,1.91,967.64,1.234,1.5718,39.47,0.120955,0.362865,4224.47433,0.3654435,9.397977951,0.2766368,7.114168255,0.3340075,8.58954974,2.06943188,0,182716.803,138314.6552,166999.2286,186941.2774,142539.1295,171223.7029,166901.3699,4,4,25,512,4,off
255c457e-19f2-400c-86bf-f504c5401625,mnist_resnet,98533,90.1,1.805,929.05,1.203,1.517,39.57,0.11613125,0.34839375,34328.28137,0.3527025,9.413163121,0.266992,7.125663266,0.3223625,8.603428659,1.9972822,0,1548937.027,1172528.674,1415695.132,1583265.308,1206856.956,1450023.414,1413381.892,4,4,25,512,4,off
4ae722cf-f5f8-4c93-afdd-abb1cbf237ce,cifar10_cnn,255,48.04,1.946,848.8,0.645,1.381,48.19,0.1061,0.3183,81.1665,0.3210825,11.37052784,0.243056,8.607367314,0.2934625,10.39241792,1.8182246,0,4842.139282,3665.44737,4425.611172,4923.305782,3746.61387,4506.777672,4392.232441,5,1,2,512,6,off
8cb3428d-26a1-40ed-ac0c-be34cd23c206,cifar10_cnn,254,45.51,2.025,925.4,0.625,1.415,48.16,0.115675,0.347025,88.14435,0.3289875,11.36774712,0.24904,8.605262336,0.3006875,10.3898764,1.862989,0,4821.970973,3650.180178,4407.177771,4910.115323,3738.324528,4495.322121,4381.253991,5,1,2,512,6,off
a8b72424-0477-45fb-8c2c-509e9fd6388a,cifar10_cnn,255,47.73,1.878,1010.97,0.66,1.407,48.22,0.12637125,0.37911375,96.67400625,0.3271275,11.38053662,0.247632,8.61494385,0.2989875,10.40156573,1.8524562,0,4846.401519,3668.673838,4429.506765,4943.075526,3765.347845,4526.180771,4411.534714,5,1,2,512,6,off
595cab86-f22a-4017-9bf5-14177205a374,mnist_resnet,108,82.59,1.983,604.67,0.5799,1.4102,44.75,0.07558375,0.22675125,24.489135,0.3278715,10.585524,0.2481952,8.013127848,0.2996675,9.674941294,1.85666932,0,1909.205109,1445.247739,1744.972412,1933.694244,1469.736874,1769.461547,1724.297555,5,1,2,512,6,off
40b7b431-e206-4368-89a6-276582621370,mnist_resnet,119,81.33,1.816,600.83,0.5646,1.4029,39.325,0.07510375,0.22531125,26.81203875,0.32617425,9.340968726,0.2469104,7.071012885,0.29811625,8.537444535,1.84705814,0,1856.330715,1405.222391,1696.646352,1883.142754,1432.034429,1723.458391,1679.545191,5,1,2,512,6,off
